date;url;title;category
02/17/2020;https://health.detik.com/sexual-health/d-4902983/pemuda-sulsel-curi-cd-dan-bra-emak-emak-termasuk-fetish-atau-gangguan-jiwa;Pemuda Sulsel Curi CD dan Bra Emak-emak, Termasuk Fetish atau Gangguan Jiwa?;health
02/17/2020;https://health.detik.com/sexual-health/d-4902894/pemuda-di-sulsel-curi-bra-dan-cd-emak-emak-ilmu-hitam-atau-fetish;Pemuda di Sulsel Curi Bra dan 'CD' Emak-emak, Ilmu Hitam atau Fetish?;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902902/netizen-sebut-health-alert-card-ribet-dan-tak-efektif-ini-kata-kemenkes;Netizen Sebut Health Alert Card Ribet dan Tak Efektif, Ini Kata Kemenkes;health
02/17/2020;https://health.detik.com/sexual-health/d-4902995/apa-yang-bikin-seks-terasa-menyenangkan-riset-ini-mengungkap-jawabannya;Apa yang Bikin Seks Terasa Menyenangkan? Riset Ini Mengungkap Jawabannya;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902872/studi-mengatakan-covid-19-tidak-menular-ke-janin;Studi Mengatakan COVID-19 Tidak Menular ke Janin;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902850/tak-perlu-karantina-sepulang-dari-singapura-checklist-lebih-disarankan;Tak Perlu Karantina Sepulang dari Singapura, Checklist Lebih Disarankan;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902815/efek-amphetamine-narkoba-yang-jejaknya-ada-di-tubuh-lucinta-luna;Efek Amphetamine, Narkoba yang Jejaknya Ada di Tubuh Lucinta Luna;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902768/bayi-67-hari-jadi-pasien-termuda-yang-sembuh-dari-covid-19;Bayi 67 Hari Jadi Pasien Termuda yang Sembuh dari COVID-19;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902731/lucinta-luna-positif-amphetamin-obat-apakah-itu;Lucinta Luna Positif Amphetamin, Obat Apakah Itu?;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902689/health-alert-card-di-bandara-bikin-ribet-ini-saran-guru-besar-fkm-ui;Health Alert Card di Bandara Bikin Ribet, Ini Saran Guru Besar FKM UI;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902620/tunggu-hasil-tes-menkes-akan-jemput-78-wni-di-kapal-pesiar-jepang;Tunggu Hasil Tes, Menkes Akan Jemput 78 WNI di Kapal Pesiar Jepang;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902593/bikin-ribet-pengisian-health-alert-card-di-bandara-dikeluhkan;Bikin Ribet, Pengisian 'Health Alert Card' di Bandara Dikeluhkan;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902590/ini-olahraga-yang-dapat-dilakukan-untuk-turunkan-kadar-kolesterol;Ini Olahraga yang Dapat Dilakukan untuk Turunkan Kadar Kolesterol;health
02/17/2020;https://health.detik.com/berita-detikhealth/d-4902549/tak-hanya-masker-dan-desinfektan-tisu-toilet-juga-ludes-gara-gara-corona;Tak Hanya Masker dan Desinfektan, Tisu Toilet Juga Ludes Gara-gara Corona;health
